typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","757","CHE","Switzerland","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1227","false",,"false","831407",,"831407","0","true","false",
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","178","false",,"false","4753",,"4753","0","true","false",
"C","A","20140101","2014","52","2014","24","AGO","Angola","M","Import","842","USA","USA","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","359445","false",,"false","1006848",,"1006848","0","true","false",
"C","A","20140101","2014","52","2014","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","10966","false",,"false","3462186",,"3462186","0","true","false",
"C","A","20140101","2014","52","2014","31","AZE","Azerbaijan","M","Import","757","CHE","Switzerland","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","5976","false",,"false","2393765",,"2393765","0","true","false",
"C","A","20140101","2014","52","2014","31","AZE","Azerbaijan","M","Import","826","GBR","United Kingdom","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","4990","false",,"false","1068421",,"1068421","0","true","false",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","87","false","5","u","87","false","7494.68","false",,"false","1652933.73","1605516.23","1652933.73","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","16","false","5","u","16","false","1017.07","false",,"false","288870.39","283031.52","288870.39","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","29","false","5","u","29","false","547.27","false",,"false","74643.12","70213.11","74643.12","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","3","false","5","u","3","false","204","false",,"false","31386.71","26805.56","31386.71","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","724","ESP","Spain","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","2","false","5","u","2","false","90","false",,"false","10456.96","9833.36","10456.96","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","842","USA","USA","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","37","false","5","u","37","false","5636.34","false",,"false","1247576.55","1215632.68","1247576.55","0","false","true",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","620","false","-1","N/A",,"false","163678","false",,"false",,"64100827","64100827","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","14","false","-1","N/A",,"false","20214","false",,"false",,"141682","141682","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","128","false","-1","N/A",,"false","5297","false",,"false",,"1210974","1210974","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","56","BEL","Belgium","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","-1","N/A",,"false","260","false",,"false",,"47021","47021","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","90","SLB","Solomon Isds","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","250","false",,"false",,"1415","1415","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","18","false","-1","N/A",,"false","8360","false",,"false",,"13080571","13080571","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","-1","N/A",,"false","3528","false",,"false",,"2139307","2139307","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","203","CZE","Czechia","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5","false","-1","N/A",,"false","370","false",,"false",,"20302","20302","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","251","FRA","France","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5","false","-1","N/A",,"false","1369","false",,"false",,"2044575","2044575","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","12","false","-1","N/A",,"false","1045","false",,"false",,"135081","135081","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","251","false",,"false",,"1100","1100","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","348","HUN","Hungary","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","275","false",,"false",,"28875","28875","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","-1","N/A",,"false","2248","false",,"false",,"343947","343947","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","372","IRL","Ireland","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","210","false",,"false",,"133839","133839","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","376","ISR","Israel","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false","390","false",,"false",,"98222","98222","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","15","false","-1","N/A",,"false","377","false",,"false",,"51143","51143","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","39","false","-1","N/A",,"false","635","false",,"false",,"46154","46154","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","458","MYS","Malaysia","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","-1","N/A",,"false","956","false",,"false",,"517797","517797","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","548","VUT","Vanuatu","0","W00","World","H4","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","-1","N/A",,"false","546","false",,"false",,"13533","13533","0","true","false",
