typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","8410","false","8410","false","0","false","2381947.34","2306909.4","2381947.34","0","false","true",
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","251","FRA","France","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","907","false","907","false","0","false","236534.65","217046.64","236534.65","0","false","true",
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","376","ISR","Israel","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","374","false","374","false","0","false","115659.24","100000","115659.24","0","false","true",
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","380","ITA","Italy","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","17","false","17","false","0","false","463.01","386.01","463.01","0","false","true",
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","620","PRT","Portugal","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","3705","false","3705","false","0","false","962612.29","951024.35","962612.29","0","false","true",
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","643","RUS","Russian Federation","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","1937","false","1937","false","0","false","30320.91","23887.6","30320.91","0","false","true",
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","710","ZAF","South Africa","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","296","false","296","false","0","false","34041.73","29999.95","34041.73","0","false","true",
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","757","CHE","Switzerland","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","411","false","411","false","0","false","366722.91","360000.07","366722.91","0","false","true",
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","826","GBR","United Kingdom","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","180","false","180","false","0","false","219404.55","215923.76","219404.55","0","false","true",
"C","A","20060101","2006","52","2006","24","AGO","Angola","M","Import","842","USA","USA","0","W00","World","H2","HS","true","840710","Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","583","false","583","false","0","false","416188.05","408641.02","416188.05","0","false","true",
